Stratum_ID,Stratum,NDVI_Slope,NDVI_FDR_P,NDVI_Trend,Rainfall_Slope,Rainfall_FDR_P,Rainfall_Trend,EVI_Slope,EVI_FDR_P,EVI_Trend,Regime_ID,Regime,EVI_Robustness,Crops_Change_pp,Trees_Change_pp,ShrubScrub_Change_pp,Built_Change_pp,Bare_Change_pp,Baseline_Forest_2000_km2,Forest_Loss_2001_2025_km2,Forest_Loss_Pct_of_Baseline,Conflict_Driver_Status,Conflict_Attribution_Used,Scenarios_Tested,LandChange_Support_Rate_Pct,Final_Interpretation_Support_Rate_Pct,Minimum_Primary_Signal_Count,Maximum_Primary_Signal_Count
1,LGP <60 days,0.002971257342318,0.0014128680579456,Increasing,6.67892385968161,0.0035398955864462,Increasing,0.0019112237158279,0.0013537100649622,Increasing,4,Vegetation recovery / greening,Supports NDVI greening,-2.2090656011904657,-0.4451681885611811,14.682664183590576,-0.0309401002754361,-19.16246505256096,0.0078269897460937,0.0078269897460937,100.0,DEFERRED,False,81,33.33333333333333,0.0,1,1
2,LGP 60–119 days,0.001957224248773,0.0188251487296723,Increasing,4.950564275497291,0.0421046225281568,Increasing,0.0012910649629809,0.0008812420783105,Increasing,4,Vegetation recovery / greening,Supports NDVI greening,5.358988137796235,1.2737274370688798,19.067355880403547,0.280953985286965,-26.084908545067275,0.031404556640625,0.0235592568359375,75.0185939751851,DEFERRED,False,81,66.66666666666666,0.0,2,2
3,LGP 120–179 days,-0.000347996068424,0.5182470524496425,Stable / no significant trend,3.0237288323927816,0.2570958530544365,Stable / no significant trend,-0.0003213222307381,0.145025278376689,Stable / no significant trend,5,No clear directional signal,"Same decline direction, EVI not FDR-significant",0.834854493195202,0.5593443556474762,4.79247416897806,0.4913185796320385,-6.412626337955996,0.402149064453125,0.402149064453125,100.0,DEFERRED,False,81,33.33333333333333,0.0,1,1
4,LGP 180–239 days,-0.0027540176875989,9.601609357035024e-05,Decreasing,0.8749384729953525,0.6825381782427602,Stable / no significant trend,-0.0016712225898094,0.0008490578651787,Decreasing,2,Potential non-climatic degradation signal,Supports NDVI decline,2.2157675947148547,-8.881027780935206,6.039880761055599,0.3533002394766629,-0.064472723359098,4001.826034227373,1123.1178847829774,28.065135145231675,DEFERRED,False,81,77.77777777777779,77.77777777777779,1,3
5,LGP 240–299 days,-0.0010269293471258,0.0825821566133028,Stable / no significant trend,-3.0265796849251343,0.6227742316816137,Stable / no significant trend,-0.0005922531996109,0.145025278376689,Stable / no significant trend,5,No clear directional signal,"Same decline direction, EVI not FDR-significant",1.2590288867096255,-10.203178605920414,8.799185082370784,0.4766786328551291,-0.0191367472901274,18349.11240106812,3686.367687839513,20.090168980734607,DEFERRED,False,81,66.66666666666666,0.0,1,3
