Year,Mean_NDVI,Mean_EVI,Mean_Rainfall_mm,Mean_Temp_C
2001,0.5335629670123863,0.3552102396245933,908.9191582558748,26.683508751567537
2002,0.5279973839008126,0.3526921261100887,958.3294727880634,27.205677927669143
2003,0.5352235115247719,0.3548982414048328,986.8743142432762,26.87520257041153
2004,0.5310204480712335,0.3528353963873362,940.721324749123,26.9865332248341
2005,0.5405056353369248,0.3622399071654611,921.6194006299044,26.886653474561637
2006,0.5371122814944963,0.3609779894772488,1049.225954107225,27.33343006134221
2007,0.5262453085286508,0.3484605078834832,955.5938422138022,27.025676655051548
2008,0.5134546024034096,0.3439761037808427,1003.7692467351782,26.721557998330717
2009,0.5220408111786375,0.3517605346849,956.5263609382598,27.314627494764743
2010,0.5191667727266562,0.3494638222812897,1022.0751290245784,27.029604488903317
2011,0.5219534438784336,0.3532481766346875,940.8490540490473,27.115539626915417
2012,0.5278278647169761,0.3499647548106793,1041.716857474597,26.343928409560007
2013,0.5183064650968637,0.342993727357164,813.4445052450908,26.787979177392906
2014,0.5221703812445873,0.3524036450843343,884.6277545411468,26.90334878857664
2015,0.4975572423630847,0.3378015805455317,925.7047680593582,27.618099905001728
2016,0.5130977076857413,0.344100484796433,946.4838766100896,27.07417827887072
2017,0.5158177951780346,0.3480387974812065,919.1924450326236,27.15886246186747
2018,0.5244476703628225,0.3528724831178564,1031.9539015077105,27.07910887166565
2019,0.5251078815459868,0.3552608148588124,1076.4487894332867,26.848157708937457
2020,0.5140303566327903,0.3438220172933886,1028.170604647176,27.16041086400609
2021,0.5082565699769459,0.3410615916153441,981.5851602508124,27.626634144667523
2022,0.5092750205212291,0.3435982269495756,993.3152727929524,26.89308172894278
2023,0.5255512234791079,0.357731382682913,1010.8370255370298,27.830628498076923
2024,0.5190152855298106,0.3458832245255738,1020.5638109454404,27.615698540540254
2025,0.5269276683791273,0.3483168579213598,976.218728990764,27.170398601458214
