Year,Mean_Temp_C,Temp_Anomaly_C,Temp_Z,Temp_Class
2001,26.683508751567537,-0.408032378589116,-1.2122856549812286,Moderately Cool
2002,27.205677927669146,0.11413679751249362,0.33910642779951194,Near Normal
2003,26.875202570411535,-0.21633855974511818,-0.6427532381257499,Near Normal
2004,26.9865332248341,-0.10500790532255166,-0.311984009019896,Near Normal
2005,26.886653474561633,-0.20488765559501942,-0.608731999699207,Near Normal
2006,27.33343006134221,0.24188893118555654,0.7186647353549351,Near Normal
2007,27.025676655051548,-0.06586447510510496,-0.1956868193129143,Near Normal
2008,26.721557998330713,-0.3699831318259399,-1.0992393418593764,Moderately Cool
2009,27.314627494764746,0.2230863646080934,0.6628013212369064,Near Normal
2010,27.029604488903313,-0.06193664125333953,-0.1840170183767493,Near Normal
2011,27.115539626915417,0.02399849675876453,0.07130079593771677,Near Normal
2012,26.343928409560007,-0.7476127205966456,-2.221196709424516,Extremely Cool
2013,26.787979177392902,-0.30356195276375075,-0.9018985258132174,Near Normal
2014,26.903348788576636,-0.18819234158001663,-0.5591293437634733,Near Normal
2015,27.618099905001728,0.5265587748450749,1.5644338114941012,Severely Hot
2016,27.074178278870722,-0.017362851285930958,-0.05158594427307034,Near Normal
2017,27.15886246186747,0.06732133171081855,0.2000152169037577,Near Normal
2018,27.07910887166565,-0.012432258491003267,-0.036936893782242256,Near Normal
2019,26.848157708937457,-0.2433834212191961,-0.7231049438392673,Near Normal
2020,27.16041086400609,0.06886973384943573,0.20461560108718568,Near Normal
2021,27.626634144667523,0.5350930145108705,1.5897894863520372,Severely Hot
2022,26.89308172894278,-0.1984594012138743,-0.5896333178745476,Near Normal
2023,27.830628498076923,0.7390873679202699,2.195867438279508,Extremely Hot
2024,27.615698540540258,0.5241574103836051,1.55729923139267,Severely Hot
2025,27.170398601458214,0.07885747130156062,0.23428969430693572,Near Normal
